H: S:
/* Non-Breeder=1 	*/
/* Breeder=2		*/
000010000000002000  1 
000000000001000002  1 
000000000001000002  1 
000000000001000002  1 
000000000001000002  1 
000000000001000002  1 
000000000001000020  1 
000000000001000020  1 
000000000001000200  1 
000000000001000200  1 
000000000001002000  1 
000000000001002002  1 
000010000000002020  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000002  1 
000000000010000020  1 
000000000010000020  1 
000000000010000020  1 
000000000010000020  1 
000000000010000020  1 
000000000010000022  1 
000000000010000022  1 
000000000010000200  1 
000000000010000200  1 
000000000010000200  1 
000000000010000202  1 
000000000010000202  1 
000000000010000202  1 
000000000010000202  1 
000000000010000220  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002000  1 
000000000010002002  1 
000000000010002002  1 
000000000010002002  1 
000000000010002022  1 
000000000010002220  1 
000010000000022020  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000002  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000020  1 
000000000100000022  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000200  1 
000000000100000202  1 
000000000100000202  1 
000000000100000202  1 
000000000100000202  1 
000000000100000220  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002000  1 
000000000100002002  1 
000000000100002002  1 
000000000100002002  1 
000000000100002020  1 
000000000100002020  1 
000000000100002020  1 
000000000100002020  1 
000000000100002022  1 
000000000100002200  1 
000000000100002200  1 
000000000100002202  1 
000000000100020002  1 
000000000100020200  1 
000000000100022000  1 
000010000020000022  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000002  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000020  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000200  1 
000000001000000202  1 
000000001000000202  1 
000000001000000202  1 
000000001000000202  1 
000000001000000202  1 
000000001000000202  1 
000000001000000202  1 
000000001000000202  1 
000000001000000220  1 
000000001000000222  1 
000000001000000222  1 
000000001000000222  1 
000000001000000222  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002000  1 
000000001000002002  1 
000000001000002002  1 
000000001000002002  1 
000000001000002002  1 
000000001000002002  1 
000000001000002002  1 
000000001000002002  1 
000000001000002002  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002020  1 
000000001000002022  1 
000000001000002022  1 
000000001000002200  1 
000000001000002200  1 
000000001000002200  1 
000000001000002200  1 
000000001000002200  1 
000000001000002200  1 
000000001000002202  1 
000000001000002220  1 
000000001000002220  1 
000000001000002222  1 
000000001000020000  1 
000000001000020000  1 
000000001000020000  1 
000000001000020000  1 
000000001000020022  1 
000000001000020202  1 
000000001000022000  1 
000000001000022000  1 
000000001000022000  1 
000000001000022000  1 
000000001000022000  1 
000000001000022002  1 
000000001000022002  1 
000000001000022002  1 
000000001000022002  1 
000000001000022200  1 
000010000220002002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000002  1 
000000010000000020  1 
000000010000000020  1 
000000010000000020  1 
000000010000000020  1 
000000010000000020  1 
000000010000000020  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000200  1 
000000010000000202  1 
000000010000000202  1 
000000010000000202  1 
000000010000000202  1 
000000010000000220  1 
000000010000000220  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002000  1 
000000010000002002  1 
000000010000002002  1 
000000010000002002  1 
000000010000002002  1 
000000010000002002  1 
000000010000002002  1 
000000010000002002  1 
000000010000002020  1 
000000010000002020  1 
000000010000002020  1 
000000010000002020  1 
000000010000002020  1 
000000010000002020  1 
000000010000002022  1 
000000010000002022  1 
000000010000002022  1 
000000010000002200  1 
000000010000002200  1 
000000010000002200  1 
000000010000002200  1 
000000010000002200  1 
000000010000002200  1 
000000010000002200  1 
000000010000002202  1 
000000010000002202  1 
000000010000002202  1 
000000010000002202  1 
000000010000002202  1 
000000010000002202  1 
000000010000002202  1 
000000010000002202  1 
000000010000002220  1 
000000010000002220  1 
000000010000020000  1 
000000010000020000  1 
000000010000020000  1 
000000010000020000  1 
000000010000020002  1 
000000010000020002  1 
000000010000020002  1 
000000010000020002  1 
000000010000020002  1 
000000010000020022  1 
000000010000020200  1 
000000010000020200  1 
000000010000020220  1 
000000010000020220  1 
000000010000022000  1 
000000010000022000  1 
000000010000022000  1 
000000010000022002  1 
000000010000022020  1 
000000010000022022  1 
000000010000022022  1 
000000010000022200  1 
000000010000200200  1 
000000010000222202  1 
000000010002000202  1 
000000010002002002  1 
000100000000022200  1 
000000100000000002  1 
000000100000000002  1 
000000100000000002  1 
000000100000000002  1 
